Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Exponential,2,1,3.7,Simulation,0.010329,0.723198,0.384427,0.338771
Constant,2,1,3.8,Simulation,0.024086,0.714325,0.385946,0.328379
Exponential,2,1,3.8,Simulation,0.01262,0.727182,0.387366,0.339816
Constant,2,1,3.9,Simulation,0.027402,0.716213,0.386644,0.329569
Exponential,2,1,3.9,Simulation,0.014787,0.732549,0.389275,0.343274
Constant,2,1,4.0,Simulation,0.031204,0.719857,0.388142,0.331715
Exponential,2,1,4.0,Simulation,0.017453,0.735129,0.391009,0.34412
Constant,2,1,4.1,Simulation,0.036177,0.720615,0.388403,0.332212
Exponential,2,1,4.1,Simulation,0.019989,0.738378,0.392467,0.345911
Constant,2,1,4.2,Simulation,0.040283,0.722284,0.389217,0.333067
Exponential,2,1,4.2,Simulation,0.023353,0.740164,0.393307,0.346857
Constant,2,1,4.3,Simulation,0.04564,0.723015,0.389303,0.333712
Exponential,2,1,4.3,Simulation,0.026643,0.742681,0.395264,0.347417
Constant,2,1,4.4,Simulation,0.050803,0.722404,0.388087,0.334317
Exponential,2,1,4.4,Simulation,0.029496,0.744812,0.394911,0.349901
Constant,2,1,4.5,Simulation,0.054954,0.722765,0.387976,0.334789
Exponential,2,1,4.5,Simulation,0.034229,0.745547,0.394065,0.351482
Constant,2,1,4.6,Simulation,0.060952,0.722484,0.387591,0.334893
Exponential,2,1,4.6,Simulation,0.037832,0.746516,0.395431,0.351085
Constant,2,1,4.7,Simulation,0.067435,0.720741,0.38639,0.334351
Exponential,2,1,4.7,Simulation,0.042455,0.746154,0.396094,0.35006
Constant,2,1,4.8,Simulation,0.073125,0.719248,0.385875,0.333373
Exponential,2,1,4.8,Simulation,0.046921,0.745733,0.395075,0.350658
Constant,2,1,4.9,Simulation,0.078451,0.717083,0.383481,0.333602
Exponential,2,1,4.9,Simulation,0.052386,0.744986,0.394449,0.350537
Constant,2,1,5.0,Simulation,0.084899,0.714857,0.381907,0.33295
Exponential,2,1,5.0,Simulation,0.05682,0.744035,0.393765,0.35027
Constant,2,1,5.1,Simulation,0.091475,0.712471,0.381143,0.331328
Exponential,2,1,5.1,Simulation,0.061702,0.742287,0.392813,0.349474
Constant,2,1,5.2,Simulation,0.098277,0.709367,0.379649,0.329718
Exponential,2,1,5.2,Simulation,0.067348,0.740925,0.392761,0.348164
Constant,2,1,5.3,Simulation,0.104975,0.705715,0.376805,0.32891
Exponential,2,1,5.3,Simulation,0.072829,0.738852,0.389831,0.349021
Constant,2,1,5.4,Simulation,0.112555,0.70177,0.374436,0.327334
Exponential,2,1,5.4,Simulation,0.07918,0.735212,0.388059,0.347153
Constant,2,1,5.5,Simulation,0.119183,0.698993,0.373081,0.325912
