Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Exponential,2,1,18.4,Simulation,0.634204,0.311401,0.163124,0.148277
Constant,2,1,18.5,Simulation,0.660826,0.284559,0.149844,0.134715
Exponential,2,1,18.5,Simulation,0.636085,0.310084,0.161781,0.148303
Constant,2,1,18.6,Simulation,0.662903,0.283593,0.149536,0.134057
Exponential,2,1,18.6,Simulation,0.637504,0.308403,0.161512,0.146891
Constant,2,1,18.7,Simulation,0.664632,0.281984,0.147789,0.134195
Exponential,2,1,18.7,Simulation,0.639327,0.307025,0.160706,0.146319
Constant,2,1,18.8,Simulation,0.666203,0.28096,0.147931,0.133029
Exponential,2,1,18.8,Simulation,0.642222,0.305082,0.159832,0.14525
Constant,2,1,18.9,Simulation,0.667416,0.279544,0.147341,0.132203
Exponential,2,1,18.9,Simulation,0.644132,0.303128,0.158275,0.144853
Constant,2,1,19.0,Simulation,0.67005,0.27752,0.146366,0.131154
Exponential,2,1,19.0,Simulation,0.644258,0.302672,0.158131,0.144541
Constant,2,1,19.1,Simulation,0.670802,0.277092,0.145764,0.131328
Exponential,2,1,19.1,Simulation,0.647148,0.300539,0.157554,0.142985
Constant,2,1,19.2,Simulation,0.672362,0.275221,0.145398,0.129823
Exponential,2,1,19.2,Simulation,0.648099,0.299322,0.15684,0.142482
Constant,2,1,19.3,Simulation,0.67426,0.274023,0.143943,0.13008
Exponential,2,1,19.3,Simulation,0.650274,0.297859,0.155711,0.142148
Constant,2,1,19.4,Simulation,0.675337,0.27286,0.143957,0.128903
Exponential,2,1,19.4,Simulation,0.652772,0.295609,0.154536,0.141073
Constant,2,1,19.5,Simulation,0.677336,0.271258,0.142717,0.128541
Exponential,2,1,19.5,Simulation,0.654945,0.29408,0.153694,0.140386
Constant,2,1,19.6,Simulation,0.679315,0.269374,0.141571,0.127803
Exponential,2,1,19.6,Simulation,0.655344,0.29327,0.153466,0.139804
Constant,2,1,19.7,Simulation,0.68117,0.268291,0.141412,0.126879
Exponential,2,1,19.7,Simulation,0.657203,0.292049,0.152803,0.139246
Constant,2,1,19.8,Simulation,0.682511,0.267183,0.140665,0.126518
Exponential,2,1,19.8,Simulation,0.658777,0.290904,0.151907,0.138997
Constant,2,1,19.9,Simulation,0.683748,0.266299,0.14029,0.126009
Exponential,2,1,19.9,Simulation,0.659642,0.290049,0.151723,0.138326
Constant,2,1,20.0,Simulation,0.685225,0.264731,0.139719,0.125012
Exponential,2,1,20.0,Simulation,0.661053,0.288585,0.151076,0.137509
